company_name,sector,company_size,initial_capital,establishment_date,active,death_date,x,y
天津市东丽区汽车装饰配件厂,Parts,XS(微型),6560.9,1993-03-17,False,,14.8441,-4.2385
天津市勃兴汽车配件厂,Parts,XS(微型),5323.53,2000-11-02,False,,13.3548,-4.9489
天津市敬东工贸有限公司,Parts,XS(微型),7849.43,1999-11-29,False,2004-12-02,3.5254,5.3192
天津亨通汽车制冷器件有限公司,Parts,S(小型),37385.55,1992-01-06,False,1998-07-27,6.572,-11.9693
天津市液压机械配件厂,Parts,XS(微型),7283.47,1982-03-08,False,2010-11-09,7.4847,5.6433
天津明路电子有限公司,Electronics,S(小型),75908.89,1995-09-29,False,1997-12-16,8.8754,-2.3966
鹏达盛（天津）轻工企业发展有限公司,Electronics,S(小型),35513.21,1995-12-13,False,1997-09-30,2.4044,-3.3279
天津昌和机械设备有限公司,Parts,S(小型),31433.65,1993-11-01,False,1997-12-04,-0.7835,-0.5955
天津浩林汽车配件有限公司,Parts,S(小型),47902.51,1992-01-22,False,2018-11-07,7.8411,-8.4864
天津莫斯科车辆零部件有限公司,Parts,S(小型),25091.8,1993-08-03,False,1997-12-04,11.9306,-5.1586
天津现代汽配有限公司,Parts,S(小型),72734.7,1994-12-12,False,1997-12-04,-4.3818,-14.5033
天津宇轮装具有限公司,Parts,S(小型),22549.59,1993-09-04,False,2000-12-04,-2.1313,4.682
天津市西青区振明汽车装俱厂,Parts,XS(微型),19639.71,1994-05-23,False,,-8.9702,-2.8326
天津市红利发汽车配件厂,Parts,XS(微型),14585.04,1996-10-09,False,,4.8636,-5.375
天津市河西区利发汽车拉杆厂,Parts,XS(微型),6585.8,1994-08-17,False,,6.4549,-8.1465
天津市顺屹导油器厂,Parts,XS(微型),5038.42,1996-07-01,False,,3.9329,-3.0355
天津市北辰区华晨服装厂,Parts,XS(微型),15485.55,1994-06-21,False,,3.7955,6.985
天津津英汽车配件有限公司,Parts,S(小型),62388.15,1992-09-28,False,2006-02-14,-14.1819,0.7181
上海丰和东杰汽车装饰件有限公司天津分公司,Parts,S(小型),64652.32,2004-06-16,False,2008-12-31,11.6027,-10.7364
天津普林斯三成机电有限公司,Parts,XS(微型),14565.35,1993-12-29,False,2001-12-28,1.0648,-5.6349
天津市北辰区华龙汽车配件经营部,Parts,XS(微型),5540.5,1994-04-07,False,,-7.5014,6.4555
天津维克特瑞机电有限公司,Parts,XS(微型),8218.41,1995-12-08,False,2001-12-28,-1.7254,1.1248
中国人民解放军运输工程学院汽车配件厂,Parts,S(小型),24100.11,1993-07-29,False,,7.9899,-0.4648
永清永泰汽车部件有限公司天津分公司,Parts,M(中型),401128.39,2015-02-12,False,2017-07-28,4.7254,17.2952
天津开发区现代汽车电器有限公司,Parts,XS(微型),11864.05,1996-09-25,False,2000-11-09,1.8474,-3.2555
天津市利顺微型汽车配件厂,Parts,XS(微型),7910.25,1995-07-28,False,,-3.2725,8.9954
天津客车装配厂汽车配件加工厂,Battery/Motor,XS(微型),5460.54,1981-01-05,False,,-2.0917,0.5127
天津泉永机电有限公司,Parts,XS(微型),7694.85,1998-06-01,False,2001-12-28,2.0226,1.4083
天津市北辰区凯达金属制品加工厂,Parts,XS(微型),7847.84,1993-01-11,False,,-6.0896,11.1296
天津东联丰田汽车服务有限公司分公司,Parts,XS(微型),13747.91,1999-02-11,False,2024-09-02,4.8775,-0.6754
天津市河西区求实汽车配件厂,Parts,XS(微型),12100.9,1996-03-08,False,,4.6679,-3.5636
天津市美程工贸有限公司,Parts,XS(微型),17105.09,1994-09-29,False,,4.8526,-8.2601
天津市明达汽车齿轮制品有限公司,Parts,XS(微型),9622.14,1996-07-17,False,,3.6773,-4.4669
天津市北辰津环汽车配件厂,Parts,XS(微型),5901.64,1996-09-20,False,,-2.0563,7.3684
天津市北辰区三镜汽配加工厂,Parts,XS(微型),13439.59,1997-06-25,False,,-0.7508,6.5141
天津市西青区明星汽车软轴厂,Parts,XS(微型),14355.17,1996-09-03,False,,-0.2382,-10.9993
天津市腾宇汽车零配件厂,Parts,XS(微型),10886.61,1994-10-14,False,,-3.4738,9.4525
天津市永光汽车配件厂,Parts,XS(微型),14559.23,1995-11-02,False,,-3.6522,10.0284
天津华日汽车配件有限公司,Parts,S(小型),44277.01,1992-02-29,False,1996-01-24,5.9707,6.3441
天津福祥汽车零部件实业有限公司,Electronics,XS(微型),10320.16,1992-10-06,False,1998-07-27,5.8076,2.2876
天津新泉机电有限公司,Parts,XS(微型),9044.31,1994-10-28,False,1997-12-04,-5.0069,0.261
天津裕通机械有限公司,Parts,XS(微型),5179.33,1994-04-09,False,1995-08-04,2.6158,-1.6886
天津华丰汽车装饰有限公司钢板弹簧厂,Parts,XS(微型),5806.67,1996-01-06,False,2008-12-31,-1.244,3.9408
天津辉虎环保设备有限公司,Parts,S(小型),21037.69,2000-03-27,False,2001-12-28,10.1015,-9.4742
江苏准提机械制造有限公司天津分公司,Parts,XS(微型),12081.68,2007-11-14,False,2017-06-16,-4.4257,-4.2323
